Timestamp,User_ID,Source_IP,Requested_Domain,Bytes_Sent,Bytes_Received
2026-05-27 13:31:36,USR005,10.15.2.14,portal.azure.com,24555,281589
2026-05-27 13:32:57,USR033,10.15.2.42,accounts.google.com,23653,108758
2026-05-27 13:35:01,USR028,10.15.2.37,computerbase.de,32973,797019
2026-05-27 13:37:05,USR011,10.15.2.20,gitlab.com,24963,239467
2026-05-27 13:39:59,USR022,10.15.2.31,telekom.de,45003,525795
2026-05-27 13:41:48,USR035,10.15.2.44,jsfiddle.net,8224,610309
2026-05-27 13:41:56,USR020,10.15.2.29,springer.com,32162,617608
2026-05-27 13:48:59,USR017,10.15.2.26,ibm.com,14463,6685
2026-05-27 13:50:06,USR048,10.15.2.57,npmjs.com,41864,1194948
2026-05-27 13:50:58,USR026,10.15.2.35,slack.com,14751,641253
2026-05-27 13:52:23,USR042,10.15.2.51,zeit.de,34285,76300
2026-05-27 13:55:33,USR030,10.15.2.39,raw.githubusercontent.com,40984,1025968
2026-05-27 13:57:20,USR004,10.15.2.13,trello.com,23814,14354
2026-05-27 13:59:33,USR040,10.15.2.49,box.com,30669,691023
2026-05-27 14:01:25,USR020,10.15.2.29,mozilla.org,23692,226739
2026-05-27 14:07:40,USR001,10.15.2.10,trello.com,23419,392401
2026-05-27 14:08:23,USR026,10.15.2.35,pypi.org,23734,20588
2026-05-27 14:13:13,USR007,10.15.2.16,handelsblatt.com,28733,1033895
2026-05-27 14:14:49,USR013,10.15.2.22,xing.com,6053,1111595
2026-05-27 14:14:53,USR033,10.15.2.42,amazon.de,10573,863340
2026-05-27 14:16:45,USR008,10.15.2.17,fedex.com,32443,16492
2026-05-27 14:17:51,USR010,10.15.2.19,ieee.org,43533,526570
2026-05-27 14:19:33,USR015,10.15.2.24,stackoverflow.com,31347,831127
2026-05-27 14:22:41,USR024,10.15.2.33,zdf.de,20113,766402
2026-05-27 14:26:42,USR028,10.15.2.37,amazon.de,12439,1126969
2026-05-27 14:30:42,USR018,10.15.2.27,office.com,7623,921752
2026-05-27 14:31:57,USR043,10.15.2.52,duckduckgo.com,29293,341391
